run,steps,last_step,final_loss,final_acc,max_sharpness
adam_lr0.0003_bs512_ep8_seed0,704,703,1.628205418586731,0.4135896861553192,1.9176547556780943
adam_lr0.003_bs512_ep8_seed0,704,703,1.7292002439498901,0.36431190371513367,1.4215214145242219
adam_lr0.01_bs512_ep8_seed0,704,703,2.1422486305236816,0.16390320658683777,2.480148482086086
adam_lr0.03_bs512_ep8_seed0,704,703,2.19789457321167,0.1120709627866745,16.332506489850445
lr0.10_bs512_ep60_ms50k_seed0,5280,5279,1.4564321041107178,0.472470223903656,2.6001114413742203
lr0.10_bs512_ep6_seed0,528,527,2.1944587230682373,0.1253775805234909,0.04159311896614419
lr0.10_bs512_ep8_seed0,704,703,2.1929428577423096,0.13394640386104584,0.059183125860273085
lr0.5_bs512_ep16_ms50k_seed0,1408,1407,1.4113181829452515,0.4828099012374878,2.549705060373455
lr0.5_bs512_ep8_ms50k_seed0,704,703,1.8728474378585815,0.3226974904537201,2.0477869660772705
lr1.0_bs512_ep16_ms50k_seed0,1408,1407,1.3348215818405151,0.5006504654884338,2.509581946820962
lr1.0_bs512_ep8_ms50k_seed0,704,703,1.495254635810852,0.45014163851737976,2.3646904422210455
lr1.0_step_g0.5_bs512_ep16_ms50k_seed0,1408,1407,2.1750783920288086,0.1732020080089569,0.1810155621481517
lr1.0_step_g0.5_bs512_ep8_seed0,704,703,2.175205945968628,0.17607170343399048,0.16088528984115663
lr1.0_step_g0.75_bs512_ep8_seed0,704,703,1.9992090463638306,0.2857275605201721,1.6056328146410888
lr1.0_step_g0.95_bs512_ep8_seed0,704,703,1.5582319498062134,0.43351444602012634,2.382451146165748
lr1.0_step_g0.9_bs512_ep16_ms50k_seed0,1408,1407,1.4021167755126953,0.4873164892196655,2.5873425582620317
lr1.0_step_g0.9_bs512_ep8_seed0,704,703,1.6587721109390259,0.40207141637802124,2.366228989643661
lr1.0_step_g1.0_bs512_ep8_seed0,704,703,1.495254635810852,0.45014163851737976,2.3646904422210455
lr10.0_ep20_ms50k_seed0,1760,1759,2.1982038021087646,0.1130281537771225,0.334833737193941
lr2.0_bs512_ep8_ms50k_seed0,704,703,1.6714457273483276,0.38762712478637695,1.8942953340760158
lr5.0_bs512_ep8_ms50k_seed0,704,703,2.1709201335906982,0.15117737650871277,0.9712921618514853
